Series,Year,Rate
1985,Male Officers,25447
1985,Female Officers,1446
1985,Male Civilians,2562
1985,Female Civilians,4206
1986,Male Officers,25733
1986,Female Officers,1850
1986,Male Civilians,2438
1986,Female Civilians,4245
1987,Male Officers,25807
1987,Female Officers,2056
1987,Male Civilians,2341
1987,Female Civilians,4265
1988,Male Officers,26478
1988,Female Officers,2245
1988,Male Civilians,2718
1988,Female Civilians,4832
1989,Male Officers,26369
1989,Female Officers,2338
1989,Male Civilians,2710
1989,Female Civilians,4912
1990,Male Officers,26699
1990,Female Officers,2597
1990,Male Civilians,2979
1990,Female Civilians,6313
1991,Male Officers,26816
1991,Female Officers,2759
1991,Male Civilians,3110
1991,Female Civilians,6574
1992,Male Officers,26648
1992,Female Officers,2978
1992,Male Civilians,3235
1992,Female Civilians,5681
1993,Male Officers,26928
1993,Female Officers,3143
1993,Male Civilians,3182
1993,Female Civilians,5981
1994,Male Officers,28216
1994,Female Officers,3410
1994,Male Civilians,3522
1994,Female Civilians,5985
1995,Male Officers,29035
1995,Female Officers,3620
1995,Male Civilians,3288
1995,Female Civilians,6168
1996,Male Officers,28884
1996,Female Officers,3695
1996,Male Civilians,3721
1996,Female Civilians,6391
1997,Male Officers,27581
1997,Female Officers,3709
1997,Male Civilians,2619
1997,Female Civilians,5326
1998,Male Officers,29850
1998,Female Officers,4130
1998,Male Civilians,3232
1998,Female Civilians,6198
1999,Male Officers,29828
1999,Female Officers,4308
1999,Male Civilians,3253
1999,Female Civilians,6272
2000,Male Officers,31710
2000,Female Officers,5097
2000,Male Civilians,5741
2000,Female Civilians,7629
2001,Male Officers,31563
2001,Female Officers,5211
2001,Male Civilians,6559
2001,Female Civilians,7410
2002,Male Officers,31344
2002,Female Officers,5293
2002,Male Civilians,6190
2002,Female Civilians,7892
2003,Male Officers,31311
2003,Female Officers,5403
2003,Male Civilians,6063
2003,Female Civilians,7687
2004,Male Officers,31069
2004,Female Officers,5555
2004,Male Civilians,6239
2004,Female Civilians,7529
2005,Male Officers,31132
2005,Female Officers,5584
2005,Male Civilians,7007
2005,Female Civilians,7871
2006,Male Officers,31651
2006,Female Officers,5764
2006,Male Civilians,7025
2006,Female Civilians,7825
2007,Male Officers,31699
2007,Female Officers,5790
2007,Male Civilians,7752
2007,Female Civilians,8507
2008,Male Officers,31703
2008,Female Officers,5767
2008,Male Civilians,7405
2008,Female Civilians,7946
2009,Male Officers,31174
2009,Female Officers,5614
2009,Male Civilians,6986
2009,Female Civilians,7745
2010,Male Officers,30165
2010,Female Officers,5465
2010,Male Civilians,6978
2010,Female Civilians,7460
2011,Male Officers,29732
2011,Female Officers,5274
2011,Male Civilians,6710
2011,Female Civilians,7156
2012,Male Officers,29421
2012,Female Officers,5112
2012,Male Civilians,7227
2012,Female Civilians,7107
2013,Male Officers,29794
2013,Female Officers,4285
2013,Male Civilians,3994
2013,Female Civilians,6156
2014,Male Officers,29455
2014,Female Officers,4946
2014,Male Civilians,6587
2014,Female Civilians,6884
2015,Male Officers,30555
2015,Female Officers,4908
2015,Male Civilians,6859
2015,Female Civilians,7297
2016,Male Officers,29295
2016,Female Officers,4888
2016,Male Civilians,6520
2016,Female Civilians,6844
2017,Male Officers,20897
2017,Female Officers,4318
2017,Male Civilians,5347
2017,Female Civilians,4749
2018,Male Officers,22164
2018,Female Officers,4580
2018,Male Civilians,5343
2018,Female Civilians,4663
2019,Male Officers,24504
2019,Female Officers,4957
2019,Male Civilians,5547
2019,Female Civilians,5044
